breed,meta-id,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,female.fertility,energy.supply,group.identity,is.dead,alpha.signal,beta.signal,gamma.signal,chromosome.I,chromosome.II,living.chance,body.size,body.shade,mutation.chance,sex.ratio,litter.size,conception.chance,day.perception.angle,night.perception.angle,audio.perception.angle,day.perception.range,night.perception.range,audio.perception.range,vocal.range,alpha.chance,beta.chance,gamma.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,senescency.chance,x.magnitude,y.magnitude
anima1s,6642197,98.9999998385054,63.603269165297036,11.841135960644445,24.96272283219," ",9.9,circle,false,0.949431692002931,1,up,female,juvenile," ",330.6207920327249,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,k,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999002295,0.949543773255226,7.07159700854925E-8,9.977000638225536E-11,0.46017752518552446,9.977000638225536E-11,0.21525668716006433,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,4.310045257551097E-4,0.027379038410811185,6.501597551255179E-9,9.977000638225536E-11,0.004986057301321684,0.004381761550368979
anima1s,5097944,94.34626372847902,122.36106860135942,14.50391874733127,18.088105636577968," ",9.9,triangle,false,0.8641163155503135,1,up,male,adult," ",2490.6293979040147,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999006122,0.8641175775623021,0.7524553814273387,1.0983762070929217E-8,0.2337755533501502,1.0983762070929217E-8,0.9993988944890793,0,0,0,1.0983762070929217E-8,1.0983762070929217E-8,1.0983762070929217E-8,0,0,0,0,1.0983762070929217E-8,1.0983762070929217E-8,4.64192136339386E-4,1.9680809597301706E-5,8.981681206711483E-5,1.0983762070929217E-8,-0.008062089302922461,-0.01264323541249018
anima1s,9293125,98.99999999731695,135,11.673816233012234,28.865555354467517," ",9.9,circle,false,0.014560823940071778,1,up,female,infant," ",147.91898875165992,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.001313
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.001241
true,a,e,GRW,1.0E-5
true,s,e,GRW,3.0E-6
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,-2.8E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999005569,0.014605816726806204,1.1700385813241165E-9,9.977000638225536E-11,0.4883670208865568,9.977000638225536E-11,9.977000638225536E-11,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,0.0017493824568368518,7.30034701443732E-8,9.977000638225536E-11,9.977000638225536E-11,-0.01,-0.01
anima1s,6814585,98.93811529581238,63.54417508304272,7.929474536857229,9.130513489540473," ",9.9,triangle,false,0.995010737954115,1,up,male,adult," ",945.8884540917903,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,af,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,-0.006261
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,e,0.0057
true,j,e,MNT,0.0024
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.015116
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999006122,0.9950107877215678,0.02613064340301482,9.977000638225536E-11,0.32926505213113727,9.977000638225536E-11,0.9999982675593815,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,0.015392890771830122,9.270856586950558E-4,5.764168066486831E-4,9.977000638225536E-11,-0.012630724529559939,-0.012530731737430557
anima1s,1758735,98.99999989138217,145.98668492912088,4.709344845605466,2.6663314938574825," ",9.9,triangle,false,0.22047092775995203,1,up,male,juvenile," ",85.72184198982507,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,i,e,BSD,2.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,s,e,BSD,1.0E-5
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,-0.015116
true,j,d,EAT,0.00195
true,s,d,EAT,0.00739
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999002295,0.22123054176090667,4.7571488916624625E-8,9.977000638225536E-11,0.46235461666507893,9.977000638225536E-11,0.051124896716473835,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,0.0036049683437429365,0.027618606687532132,2.5334500269335795E-9,9.977000638225536E-11,0.01,-0.01
anima1s,9251787,98.99999972700041,24.520299218009768,20.44791819527576,10.045895868000875," ",9.9,circle,false,0.5732236848671125,1,up,female,juvenile," ",342.0924305663015,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,DSC,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,-0.002544
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,j,e,MNT,0.0024
true,a,e,MNT,0.003769
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,j,e,CKA,5.0E-4
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,g,p,RFT,0.00993
true,i,l,RFT,-0.015116
true,j,d,EAT,0.00195
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999002295,0.5739497804713084,1.1951090580085307E-7,9.977000638225536E-11,0.45867681141623384,9.977000638225536E-11,0.34945712846868826,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,0.0010036776269636747,0.00935630904335055,1.0939793407066499E-8,9.977000638225536E-11,-0.016124978818485857,-0.012780536007445248
anima1s,9308295,95.75194900748905,58.90325933916358,24.65254121242699,16.347645952095707," ",9.9,circle,false,0.9706553640497125,1,up,female,adult,lactating,810.6075702059641,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999006122,0.970655653144942,0.6283532010124914,1.0983762070929217E-8,0.21167424205951152,1.0983762070929217E-8,0.9992977612046168,0,0,0,1.0983762070929217E-8,1.0983762070929217E-8,1.0983762070929217E-8,0,0,0,0,9.977000638225536E-11,0.0044341586962124676,7.650363713852207E-4,1.9467780889915556E-4,6.819835242885648E-4,1.0983762070929217E-8,-0.014049662663327809,-0.01406105124248424
anima1s,9661243,98.44478022367856,319.81568866646995,22.706613544771866,21.423407342267417," ",9.9,triangle,false,0.9976283825255433,1,up,male,adult," ",1503.5557875752934,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GFT,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,0.001106
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999006122,0.9976284062133364,0.1921432550031459,9.977000638225536E-11,0.3207182403327577,9.977000638225536E-11,0.9999979160962789,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,0.0019485160120170973,9.518445874102995E-4,4.111764882147891E-4,9.977000638225536E-11,0.005852934185495768,-0.005593455259362626
anima1s,193341,98.99357312803971,116.73035002971307,23.239858707709242,4.878419492865838," ",9.9,triangle,false,0.9996141630567134,1,up,male,juvenile," ",1067.788701471254,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,0.0026
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKB,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999002295,0.9996150405948094,0.002790418031930574,9.977000638225536E-11,0.3693623755108181,9.977000638225536E-11,0.9999987122781404,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,3.8605632600042367E-4,9.977000638225536E-11,1.0772613975741586E-4,3.8605632600042367E-4,0.0012212132328125417,9.977000638225536E-11,-0.0069103601215203935,-0.017035232956365273
anima1s,5931392,98.99913149657964,16.291761559291558,25.67088612592908,13.698285253575383," ",9.9,circle,false,0.9967252269749566,1,up,female,juvenile," ",921.742432432613,504509,false,false,false,false,"true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,SXR,0.0026
true,i,e,GRW,0.0073
true,j,e,GRW,0.00228
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,g,e,CKI,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,j,e,CKA,5.0E-4
true,j,e,CKA,5.0E-4
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,g,p,RFT,0.00993
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,a,d,EAT,0.00138
true,f,jy,PDN,0.00999
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972","true,g,e,MNT,0.0014
true,i,e,MNT,0.0057
true,j,e,MNT,0.0024
true,a,e,MNT,0.00626
true,s,e,MNT,0.00483
true,g,e,GRW,2.6E-4
true,i,e,GRW,7.3E-4
true,j,e,GRW,0.00228
true,a,e,GRW,1.0E-5
true,s,e,GRW,1.0E-5
true,g,e,BSD,5.0E-4
true,i,e,BSD,2.0E-4
true,j,e,BSD,5.0E-4
true,a,e,BSD,5.6E-4
true,s,e,BSD,1.0E-5
true,j,e,ICC,0.00553
true,e,e,HED,1.0E-5
true,e,e,GFD,1.0E-5
true,p,e,CKB,0.005
true,g,e,CKI,0.005
true,l,e,CKW,0.005
true,i,e,CKJ,0.005
true,j,e,CKA,5.0E-4
true,p,g,GFT,0.009
true,l,i,GFT,0.00992
true,g,p,RFT,0.00993
true,i,l,RFT,0.00994
true,j,d,EAT,0.00195
true,a,d,EAT,0.00138
true,s,d,EAT,0.00739
true,f,jy,PDN,0.00999
true,ma,c,MAT,0.00947
true,c,am,MAT,0.00972",0.9999999999002295,0.9967326642893028,3.785108041032678E-4,9.977000638225536E-11,0.6389392122340134,9.977000638225536E-11,0.9999223805608773,0,0,0,9.977000638225536E-11,9.977000638225536E-11,9.977000638225536E-11,0,0,0,0,9.977000638225536E-11,9.977000638225536E-11,4.916080473455737E-4,0.0011460176952034608,1.1400180490800159E-4,9.977000638225536E-11,0.005785333237005526,0.008385299085081337
