"baboon"	"ego_fetus"	"ego_infant"	"ego_juvenile"	"ego_adult"	"ego_senescent"	"ego_cycling"	"ego_ovulating"	"ego_pregnant"	"ego_lactating"	"ego_male"	"ego_female"
"life_history"	50	100	200	900	1000	30	5	50	50	3	3
											
"self_decision"	"grow"	"grow"	"conception"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"other_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"male_decision"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"mate"
"female_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"infant_decision"	"grow"	"grow"	"conception"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"juvenile_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"adult_decision"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"senescent_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"cycling_decision"	"grow"	"grow"	"conception"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"ovulating_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"pregnant_decision"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"lactating_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"smaller_decision"	"grow"	"grow"	"conception"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"larger_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"sicker_decision"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"healthier_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"ingroup_decision"	"grow"	"grow"	"conception"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
"outgroup_decision"	"grow"	"grow"	"grow"	"maintain"	"maintain"	"maintain"	"mate"	"lactate"	"lactate"	"mate"	"maintain"
											
"self_weight"	1	1	1	1	1	1	1	1	1	1	1
"other_weight"	1	1	1	1	1	1	1	1	1	1	1
"male_weight"	1	1	1	1	1	1	1	1	1	1	1
"female_weight"	1	1	1	1	1	1	1	1	1	1	1
"infant_weight"	1	1	1	1	1	1	1	1	1	1	1
"juvenile_weight"	1	1	1	1	1	1	1	1	1	1	1
"adult_weight"	1	1	1	1	1	1	1	1	1	1	1
"senescent_weight"	1	1	1	1	1	1	1	1	1	1	1
"cycling_weight"	1	1	1	1	1	1	1	1	1	1	1
"ovulating_weight"	1	1	1	1	1	1	1	1	1	1	1
"pregnant_weight"	1	1	1	1	1	1	1	1	1	1	1
"lactating_weight"	1	1	1	1	1	1	1	1	1	1	1
"smaller_weight"	1	1	1	1	1	1	1	1	1	1	1
"larger_weight"	1	1	1	1	1	1	1	1	1	1	1
"sicker_weight"	1	1	1	1	1	1	1	1	1	1	1
"healthier_weight"	1	1	1	1	1	1	1	1	1	1	1
"ingroup_weight"	1	1	1	1	1	1	1	1	1	1	1
"outgroup_weight"	1	1	1	1	1	1	1	1	1	1	1
											
											
											
											
											
											
