breed,my.identity,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,fertility.status,group.identity,is.alive,is.resting,yellow.signal,red.signal,blue.signal,survival.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother,home-range?
anima1s,7498895,0,25,133.9164308,90,40, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,25,TRUE,FALSE,FALSE,FALSE,FALSE,0.999999999,0.9,0.706523806,1000,DDDDDDDDDD,QCQDGMFYVU,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,987876,0,93,306.5681999,30,90, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,95,TRUE,FALSE,FALSE,FALSE,FALSE,0.999999999,0.9,0.842973618,1000,AAAAAAAAAA,BNCIVAKYMH,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,5492956,0,96,50.6485522,30,80, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,95,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.565511299,1000,WAZQWOKLRU,GCQKDREVNQ,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,4568063,0,65,94.82111591,60,90, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,65,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.7378063,1000,SDWUBWCROB,IZOKAEGAUL,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,3244523,0,44,301.0585237,30,40, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,45,TRUE,FALSE,FALSE,FALSE,FALSE,0.999999999,0.9,0.804636694,1000,CCCCCCCCCC,VSFNFSMAIL,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,9999999,0,24,156.5063592,60,30, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,25,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.794738896,1000,UIXKFZRKJO,JHKEHAANDJ,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,3882454,0,41,156.5063592,20,30, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,45,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.940219454,1000,WVFGUXEEKV,FMUGWBBZIE,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,2504142,0,63,352.0656484,80,80, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,65,TRUE,FALSE,FALSE,FALSE,FALSE,0.999999999,0.9,0.865954219,1000,BBBBBBBBBB,SVPXGRQUFI,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,1724908,0,21,156.5063592,60,40, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,25,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.957225822,1000,PHFPJOMOHW,VBTYSUXWEK,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
anima1s,3606102,0,46,214.4903982,30,10, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,45,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.631850434,1000,USLFPWAHYT,WLKTYFCGNQ,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0,0,,,nobody,TRUE
