breed,my.identity,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,fertility.status,group.identity,is.alive,is.resting,yellow.signal,red.signal,blue.signal,survival.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother,home-range?
anima1s,9999999,0,12,45,18,50, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,15,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.898931004,1000,KYZZKDBUEH,INBXAYFTMG,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,10,18.43494882,19,49, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,15,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.97900207,1000,XPCCPHFKRT,HITVZWXZDJ,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,15,26.56505118,19,50, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,15,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.657895851,1000,AOEOIDDAPR,IARECTUOXD,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,15,117,20,51, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,15,TRUE,FALSE,FALSE,FALSE,FALSE,0.999990194,0.9,0.678993824,1000,AAAAAAAAAA,RRGPQISACT,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,11,116.5650512,19,61, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,5895,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.94232515,1000,WWPMRJFFEJ,BLXLBZDWOL,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,15,227.5652549,21,60, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,5895,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.667068138,1000,HNEWPWCOVI,WFRWGVZHYU,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,16,135,20,61, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,5895,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.652943865,1000,EHAXKFIGKZ,VDMRHINPSF,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,10,139,21,60, ,9.9,triangle332,FALSE,0.9,1,up,male,adult, ,5895,TRUE,FALSE,FALSE,FALSE,FALSE,0.999990194,0.9,0.992395183,1000,AAAAAAAAAA,DGZMVGVUQH,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,16,45,19,79, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,23955,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.631884415,1000,FANRMXUSKR,TRGQAFLWMD,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
anima1s,9999999,0,16,270,21,80, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,23955,TRUE,FALSE,FALSE,TRUE,FALSE,0.999990194,0.9,0.589861936,1000,EBWVTFHEXJ,YIPCSRKFSG,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0,0,0.999,0,0,0,0,0,0,0,0,,,nobody,
