breed,my.identity,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,fertility.status,group.identity,is.alive,is.resting,yellow.signal,red.signal,blue.signal,survival.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother,home-range?
anima1s,7844905,0,54,90.82823536,23,74, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,55,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.767980536,1000,AAAAAAAAAA,CALALIDEXZ,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-0.001013069,0.001119286,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,8921182,0,72,214.4903982,79,24, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,75,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.914812785,1000,DDDDDDDDDD,ZJBYRDLEDO,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0.001,-0.001,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,5973456,0,111,183.4812445,71,75, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,115,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.955768969,1000,BBBBBBBBBB,RLJMSCBROA,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-0.001,0.001,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,8708361,0,73,90.82823536,78,25, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,75,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.839984312,1000,DDDDDDDDDD,ZOUOXLDVLI,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-0.001013069,0.001119286,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,1944575,0,111,309.2810772,70,75, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,115,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.936227166,1000,BBBBBBBBBB,RNTPXROUHH,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-7.00E-04,-0.001943382,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,719287,0,57,45.17651767,27,72, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,55,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.522961724,1000,AAAAAAAAAA,USXPUNQBBR,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-8.74E-04,9.02E-04,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,5436802,0,57,18.34355275,27,74, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,55,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.530744382,1000,AAAAAAAAAA,CGVITXMJPB,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0.001,0.001,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,9910973,0,14,183.4812445,26,25, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,15,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.765432301,1000,CCCCCCCCCC,NUOGDYJHND,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,-0.001,0.001,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,9771608,0,17,156.5063592,23,27, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,15,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.532857307,1000,CCCCCCCCCC,NCDUCUUMAM,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0.008119299,0.00261418,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
anima1s,6364770,0,56,50.6485522,25,76, ,9.9,circle332b,FALSE,0.9,1,up,female,adult,cycling,55,TRUE,FALSE,FALSE,TRUE,FALSE,0.999999999,0.9,0.611489765,1000,AAAAAAAAAA,NGYCLDREKO,[],0.4,0.05,0.5,0,0.999,0.8,1,0.5,0.25,0,0.999,0,0,0,0,0,0,0.001,-0.001,"true,e,e,living-chance,0.06
true,j,e,set-heading,0.5
true,a,e,set-heading,0.5
true,a,on,set-heading,-0.5
true,a,on,set-heading,0.5
true,e,-e,rest,1.0E-5
true,e,*e,rest,-1.0E-5
true,j,e,set-heading-random,0.05
true,a,e,set-heading-random,0.001
true,a,d8,move-toward,1.0E-5
true,a,d7,move-toward,2.0E-5
true,a,d6,move-toward,3.0E-5
true,a,d5,move-toward,4.0E-5
true,a,d4,move-toward,5.0E-5
true,a,d3,move-toward,6.0E-5
true,j,d,eat,1.0E-5
true,a,d,eat,1.0E-5
true,a,an,move-toward,0.005
true,a,an,match-heading,0.001
true,a,o,move-away-from,5.0E-4
true,a,au,move-away-from,5.0E-4
true,j,e,go-forward,0.1
true,a,e,go-forward,0.1",,nobody,
