breed,meta.id,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,female.fertility,group.identity,is.alive,yellow.signal,red.signal,blue.signal,living.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother
anima1s,1809705,,16,90,40,86, ,9.9,circle323,FALSE,0.5,1,up,female,adult,cycling,1092156,TRUE,FALSE,FALSE,FALSE,0.99999,0.5,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,2248085,,35,90,80,70, ,9.9,triangle323,FALSE,0.99999,1,up,male,adult, ,1015,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,7668708,,139,90,20,94, ,9.9,triangle323,FALSE,0.99999,1,up,male,adult, ,798139,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,6831736,,86,0,20,40, ,9.9,circle323,FALSE,0.99999,1,up,female,adult,cycling,1218086,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0.9999,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,926939,,115,0,30,20, ,9.9,circle323,FALSE,0.99999,1,up,female,adult,cycling,1325915,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,wzxzykadyu,amdltbyukz,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0.5,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,9797681,,45,0,10,60, ,9.9,triangle323,FALSE,0.99999,1,up,male,adult, ,1277265,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,amsztbxkvz,czxrjkfekp,,0.2,0.15,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,9212543,,137,0,40,35, ,9.9,triangle323,FALSE,0.99999,1,up,male,adult, ,97857,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0.5,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,2622773,,104,0,54,35, ,9.9,circle323,FALSE,0.99999,1,up,female,adult,cycling,1282084,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,wzxzykadyu,amdltbyukz,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,1913192,,95,0,82,35, ,9.9,circle323,FALSE,0.99999,1,up,female,adult,cycling,234315,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,wzxzykadyu,amdltbyukz,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
anima1s,3230276,,25,90,60,78, ,9.9,triangle323,FALSE,0.99999,1,up,male,adult, ,198685,TRUE,FALSE,FALSE,FALSE,0.99999,0.99999,0.7,999999999,cyszjkxkkz,azdrtklevd,,0.2,0,0,0,0,0.5,0.9,0.9,0.25,0,0,0,0,0,0,0,0,0,0,"false,*,e,living-chance,0.03","false,e139,e,go-forward,0.1
false,*139,d,eat,0.3
false,e16,e,go-forward,0.5
false,*16,d,eat,0.3
false,e25,e,go-forward,0.4
false,*25,d,eat,0.5
false,e35,e,go-forward,0.1
false,*35,d,eat,0.9
false,e45,e,go-forward,0.1
false,*45,d,eat,0.3
false,e86,e,go-forward,0.3
false,*86,d,eat,0.3
false,e115,e,go-forward,0.01
false,*115,d,eat,0.1
false,e137,e,go-forward,0.3
false,e137,e,turn-right,0.005
false,*137,d,eat,0.1
false,e95,e,go-forward,0.3
false,e95,e,turn-left,0.007
false,*95,d,eat,0.1
false,e104,e,go-forward,0.3
false,e104,e,turn-right,0.012
false,*104,d,eat,0.1",nobody
