breed,my.identity,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,female.fertility,group.identity,is.alive,yellow.signal,red.signal,blue.signal,living.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother
anima1s,8515570,,14,73.37542116,23.54939987,24.36033234, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,1848435,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0802,wzxrtkilvp,aydrjklevd,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,7508379,,94,220.7211803,76.40358194,25.82263181, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,912475,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.08,wmxztkagyz,czxlykydku,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,9558497,,94,325.1770315,75.7400257,23.60113716, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,1376855,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.08,czxrjkyekp,wzxrjkflkp,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,3688527,,24,351.1717946,76.05065781,73.66373075, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,3218485,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.08,wzxrtkilvp,aydrjklevd,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,7163020,,24,220.6754914,75.75994687,76.41198919, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,3218485,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0804,wzxrtkilvp,aydrjklevd,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,4791746,,14,296.0725643,26.48783237,24.45982379, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,1848435,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0801,wmxztkagyz,czxlykydku,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,355116,,94,159.5996927,74.31948442,26.42935166, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,7788435,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0801,wzxrtkilvp,aydrjklevd,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,4666014,,24,43.70964708,74.21437187,73.59668381, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,3218485,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0801,wmxztkagyz,czxlykydku,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,5879128,,24,164.318261,75.00155978,76.61123239, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,3218485,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.1465,wmxztkagyz,czxlykydku,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
anima1s,1610533,,64,161.6641192,23.5056969,75.9914822, ,9.9,triangle133,FALSE,0.99999,1,up,male,adult, ,2330925,TRUE,FALSE,FALSE,FALSE,0.999990138,0.99999,0.8,999996.0802,czxrjkyekp,wzxrjkflkp,,0.2,0.1,0.5,0,0.99999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.03","false,m,om,recruit,0.5
false,f65,m,recruit,0.5
false,m64,f25,join,0.5
false,f95,m24,recruit,0.5
false,f15,m94,expel,0.5
false,m64,f15,leave,0.5
false,m24,f15,leave,0.5
false,m,e,go-forward,0.5
false,m,e,set-heading,0
false,m64,e,set-heading,0.25
false,m24,e,set-heading,0.5
false,m94,e,set-heading,0.75",nobody
