breed,my.identity,age,color,heading,xcor,ycor,label,label-color,shape,hidden?,size,pen-size,pen-mode,biological.sex,life.history,female.fertility,group.identity,is.alive,yellow.signal,red.signal,blue.signal,living.chance,body.size,body.shade,energy.supply,identity.I,identity.II,carried.items,bite.capacity,mutation.chance,sex.ratio,litter.size,conception.chance,visual.angle,visual.range,day.perception,night.perception,yellow.chance,red.chance,blue.chance,birthing.chance,weaning.chance,infancy.chance,juvenility.chance,adulthood.chance,x.magnitude,y.magnitude,chromosome.I,chromosome.II,my.mother
anima1s,6145972,,96,0,10,30, ,9.9,circle333,FALSE,0.99999,1,up,female,adult,cycling,127356,TRUE,FALSE,FALSE,FALSE,0.99998954,0.99999,0.7,999999.1,amsztbxkvz,czxrjkfekp,,0.2,0,0.5,0,0.99999999,0.999999,0.9,0.999999,0.999999,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.05
false,m,f,mate-with,0.5
false,m,f4+,set-heading,0.75
false,m,f6+,set-heading,0.25
false,m,f+,squirm-from,1
false,m,e,go-forward,0.25","false,f,mt,pick-up,1
false,f,m,mate-with,-1
false,f,p,red-signal-on,0.9
false,f14,m,mate-with,1.1
false,f24,m,mate-with,1.2
false,f34,m,mate-with,1.3
false,f54,m,mate-with,1.4
false,f74,m,mate-with,1.5
false,f84,m,mate-with,1.6
false,f94,m,mate-with,1.7
false,f104,m,mate-with,1.8
false,f124,m,mate-with,1.9
false,f16,m,mate-with,0.1
false,f26,m,mate-with,0.2
false,f36,m,mate-with,0.3
false,f56,m,mate-with,0.4
false,f76,m,mate-with,0.5
false,f86,m,mate-with,0.6
false,f96,m,mate-with,0.7
false,f106,m,mate-with,0.8
false,f126,m,mate-with,0.9",nobody
turtles,,,96,90,91,57,0.4,0,default,FALSE,0.001,1,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anima1s,2484445,,126,0,10,10, ,9.9,circle333,FALSE,0.99999,1,up,female,adult,cycling,37646,TRUE,FALSE,FALSE,FALSE,0.99998954,0.99999,0.7,999999.1,wzxzykadyu,amdltbyukz,,0.2,0,0.5,0,0.99999999,0.999999,0.9,0.999999,0.999999,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.05
false,m,f,mate-with,0.5
false,m,f4+,set-heading,0.75
false,m,f6+,set-heading,0.25
false,m,f+,squirm-from,1
false,m,e,go-forward,0.25","false,f,mt,pick-up,1
false,f,m,mate-with,-1
false,f,p,red-signal-on,0.9
false,f14,m,mate-with,1.1
false,f24,m,mate-with,1.2
false,f34,m,mate-with,1.3
false,f54,m,mate-with,1.4
false,f74,m,mate-with,1.5
false,f84,m,mate-with,1.6
false,f94,m,mate-with,1.7
false,f104,m,mate-with,1.8
false,f124,m,mate-with,1.9
false,f16,m,mate-with,0.1
false,f26,m,mate-with,0.2
false,f36,m,mate-with,0.3
false,f56,m,mate-with,0.4
false,f76,m,mate-with,0.5
false,f86,m,mate-with,0.6
false,f96,m,mate-with,0.7
false,f106,m,mate-with,0.8
false,f126,m,mate-with,0.9",nobody
anima1s,9080420,,54,0,90,60, ,9.9,circle333,FALSE,0.99999,1,up,female,adult,cycling,1316,TRUE,FALSE,FALSE,FALSE,0.99998954,0.99999,0.85,999999.1,cyszjkxkkz,azdrtklevd,,0.2,0,0.5,0,0.99999999,0.999999,0.9,0.999999,0.999999,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.05
false,m,f,mate-with,0.5
false,m,f4+,set-heading,0.75
false,m,f6+,set-heading,0.25
false,m,f+,squirm-from,1
false,m,e,go-forward,0.25","false,f,mt,pick-up,1
false,f,m,mate-with,-1
false,f,p,red-signal-on,0.9
false,f14,m,mate-with,1.1
false,f24,m,mate-with,1.2
false,f34,m,mate-with,1.3
false,f54,m,mate-with,1.4
false,f74,m,mate-with,1.5
false,f84,m,mate-with,1.6
false,f94,m,mate-with,1.7
false,f104,m,mate-with,1.8
false,f124,m,mate-with,1.9
false,f16,m,mate-with,0.1
false,f26,m,mate-with,0.2
false,f36,m,mate-with,0.3
false,f56,m,mate-with,0.4
false,f76,m,mate-with,0.5
false,f86,m,mate-with,0.6
false,f96,m,mate-with,0.7
false,f106,m,mate-with,0.8
false,f126,m,mate-with,0.9",nobody
turtles,,,56,90,11,57,-0.6,0,default,FALSE,0.001,1,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtles,,,125,201,28,6,0.5,0,default,FALSE,0.001,1,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anima1s,932785,,104,0,90,20, ,9.9,circle333,FALSE,0.99999,1,up,female,adult,cycling,51206,TRUE,FALSE,FALSE,FALSE,0.99998954,0.99999,0.85,999999.1,cyszjkxkkz,azdrtklevd,,0.2,0,0.5,0,0.99999999,0.999999,0.9,0.999999,0.999999,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.05
false,m,f,mate-with,0.5
false,m,f4+,set-heading,0.75
false,m,f6+,set-heading,0.25
false,m,f+,squirm-from,1
false,m,e,go-forward,0.25","false,f,mt,pick-up,1
false,f,m,mate-with,-1
false,f,p,red-signal-on,0.9
false,f14,m,mate-with,1.1
false,f24,m,mate-with,1.2
false,f34,m,mate-with,1.3
false,f54,m,mate-with,1.4
false,f74,m,mate-with,1.5
false,f84,m,mate-with,1.6
false,f94,m,mate-with,1.7
false,f104,m,mate-with,1.8
false,f124,m,mate-with,1.9
false,f16,m,mate-with,0.1
false,f26,m,mate-with,0.2
false,f36,m,mate-with,0.3
false,f56,m,mate-with,0.4
false,f76,m,mate-with,0.5
false,f86,m,mate-with,0.6
false,f96,m,mate-with,0.7
false,f106,m,mate-with,0.8
false,f126,m,mate-with,0.9",nobody
turtles,,,96,90,91,47,0.5,0,default,FALSE,0.011,1,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anima1s,2982690,,14,0,90,90, ,9.9,circle333,FALSE,0.99999,1,up,female,adult,cycling,317256,TRUE,FALSE,FALSE,FALSE,0.99998954,0.99999,0.85,999999.1,cyszjkxkkz,azdrtklevd,,0.2,0,0.5,0,0.99999999,0.999999,0.9,0.999999,0.999999,0,0,0,0,0,0,0,0,0,0,"false,e,e,living-chance,0.05
false,m,f,mate-with,0.5
false,m,f4+,set-heading,0.75
false,m,f6+,set-heading,0.25
false,m,f+,squirm-from,1
false,m,e,go-forward,0.25","false,f,mt,pick-up,1
false,f,m,mate-with,-1
false,f,p,red-signal-on,0.9
false,f14,m,mate-with,1.1
false,f24,m,mate-with,1.2
false,f34,m,mate-with,1.3
false,f54,m,mate-with,1.4
false,f74,m,mate-with,1.5
false,f84,m,mate-with,1.6
false,f94,m,mate-with,1.7
false,f104,m,mate-with,1.8
false,f124,m,mate-with,1.9
false,f16,m,mate-with,0.1
false,f26,m,mate-with,0.2
false,f36,m,mate-with,0.3
false,f56,m,mate-with,0.4
false,f76,m,mate-with,0.5
false,f86,m,mate-with,0.6
false,f96,m,mate-with,0.7
false,f106,m,mate-with,0.8
false,f126,m,mate-with,0.9",nobody
turtles,,,96,90,91,17,0.8,0,default,FALSE,0.011,1,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
